GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
676911194,042,1.9,4,2.29257641921398,1,
676911195,042,1.9,6,2.29257641921398,1,
676911202,020,3.0,4,0.27855153203343,1,NZ
676911203,020,3.0,6,0.27855153203343,1,NZ
676914988,193,-10.0,4,-3.42857142857143,4,PM
676914978,042,1.9,10,4.07239819004525,1,TH
676914985,042,1.9,10,4.07239819004525,1,CB
676914986,043,2.8,7,4.07239819004525,1,TH
676914979,043,2.8,10,4.07239819004525,1,TH
676916864,057,8.0,3,-3.88739946380697,1,ER
676916855,057,8.0,6,-3.88739946380697,1,SO
676916865,057,8.0,3,-3.88739946380697,1,SO
676916863,010,0.0,4,-2.86532951289398,1,PE
676919373,130,-4.4,10,-3.27102803738318,3,
676920297,138,-7.0,5,-5.31914893617021,3,LY
676925856,173,-5.0,10,-6.31510416666666,4,WA
676925851,036,4.0,10,-4.52488687782805,1,PP
676925852,160,-4.0,10,-4.52488687782805,4,PP
676925853,110,-2.0,10,-4.52488687782805,3,PP
676925854,036,4.0,10,-4.52488687782805,1,PP
676925855,160,-4.0,10,-4.52488687782805,4,PP
676928856,010,0.0,1,-2.77777777777778,1,GT
676928857,010,0.0,1,-2.77777777777778,1,US
676931774,100,-5.0,10,-1.86813186813187,3,MO
676935236,138,-7.0,4,-5.97826086956521,3,BG
676935237,190,-10.0,4,-5.97826086956521,4,BG
676935238,138,-7.0,6,-5.97826086956521,3,BG
676935239,190,-10.0,6,-5.97826086956521,4,BG
676936433,040,1.0,3,3.51906158357771,1,KE
676936436,040,1.0,2,3.51906158357771,1,KE
676936437,017,0.0,5,3.51906158357771,1,KE
676936438,040,1.0,3,3.51906158357771,1,KE
676936439,051,3.4,5,3.51906158357771,1,KE
676936440,110,-2.0,3,3.51906158357771,3,KE
676936441,040,1.0,2,3.51906158357771,1,KE
676939386,084,7.0,10,-1.29240710823909,2,PK
676939387,1821,-9.0,5,-6.32530120481927,4,RW
676942427,010,0.0,18,-0.77220077220077,1,PM
676942425,010,0.0,6,-0.77220077220077,1,PK
676947689,173,-5.0,10,0.0,4,BN
676949330,043,2.8,6,1.86915887850468,1,
676949338,120,-4.0,1,-5.82901554404145,3,NZ
676949339,120,-4.0,2,-5.82901554404145,3,UK
676951006,020,3.0,6,8.86075949367089,1,FJ
676953983,035,7.0,2,1.72413793103448,1,LY
676955675,042,1.9,6,2.45398773006135,1,
676956622,010,0.0,8,-1.95876288659794,1,BH
676956608,046,7.0,4,-2.19224283305228,1,CH
676957869,150,-7.2,2,-2.28310502283106,4,HK
676957867,150,-7.2,2,-2.28310502283106,4,CH
676957868,150,-7.2,6,-2.28310502283106,4,CH
676959922,070,7.0,5,-1.00719424460432,2,TD
