Actor2Geo_CountryCode,Year,GoldsteinScale,AvgTone,QuadClass,NumMentions
AA,2006,0.0,4.547803617571059,1.0,4.0
AA,2014,3.8666666666666667,0.16584128067884993,1.3333333333333333,9.333333333333334
AA,2015,0.3999999999999999,-5.54160658899081,1.5,7.5
AA,2018,-4.2,-8.310443119979237,3.6,9.2
AA,2019,2.4000000000000004,1.2407299757903734,1.0,5.333333333333333
AC,2008,-7.2,-0.6857142857142899,4.0,4.0
AC,2014,0.0,3.1842147756552053,1.0,5.5
AC,2015,-3.6,-2.517121469526435,2.5,4.0
AC,2017,1.1199999999999999,-2.774143174803762,1.5333333333333334,5.6
AC,2019,-0.3,3.841284540513378,1.6,4.8
AE,2005,2.6024390243902444,2.1303504399519926,1.4878048780487805,3.5853658536585367
AE,2006,2.556097566063811,0.9378546715113342,1.3658536585365855,3.4146341463414633
AE,2007,2.5333333333333323,2.507993053077245,1.2380952380952381,4.238095238095238
AE,2008,2.04,2.7788273929996126,1.45,5.55
AE,2009,1.8374999999999995,0.24577650050260635,1.625,4.1875
AE,2014,1.3345679012345681,-0.1264510943832437,1.691358024691358,4.617283950617284
AE,2015,2.1699115044247805,0.9517950975908464,1.3716814159292035,6.31858407079646
AE,2016,1.864327485380118,-0.5142349991121549,1.4152046783625731,4.777777777777778
AE,2017,1.9635135135135133,0.9743531773707298,1.6891891891891893,4.554054054054054
AE,2018,2.252112676056339,0.5376356780558281,1.4647887323943662,6.464788732394366
AE,2019,1.9951219512195129,-0.8961989695472886,1.7560975609756098,6.2926829268292686
AF,2005,-5.781074766355136,-4.054217184098865,3.1448598130841123,3.9953271028037385
AF,2006,-6.467206477732791,-4.756699655719153,3.2408906882591095,4.1417004048583
AF,2007,-1.7573170731707317,-4.6682180404014515,2.317073170731707,5.0
AF,2008,-0.38016528925619825,-2.854398963823242,2.4214876033057853,5.512396694214876
AF,2009,-2.575714285714284,-4.431064715829284,2.2857142857142856,4.642857142857143
AF,2014,-0.5285714285714286,-3.523605180788611,2.2983193277310923,5.80672268907563
AF,2015,-0.3989130434782609,-3.5480857357744293,2.0434782608695654,6.157608695652174
AF,2017,-0.9974093264248708,-4.0017930252861875,2.38860103626943,5.544041450777202
AF,2018,1.2059405940594068,-1.8345932947676475,1.683168316831683,7.316831683168317
AF,2019,-0.03827160493827154,-2.809199247250034,1.9691358024691359,6.654320987654321
AG,2005,0.0,-2.99277605779154,1.0,1.0
AG,2006,2.4749999940395355,-0.7575242917166584,1.0,8.0
AG,2007,-2.32,-3.2918851256903707,2.8,4.2
AG,2008,-0.275,-2.8744002692107884,1.75,5.375
AG,2009,0.6333333333333333,-3.9936138396988503,2.0,6.666666666666667
AG,2014,-0.11428571428571456,-3.83799625131863,2.0,5.428571428571429
AG,2015,1.31829268292683,-2.051746099345678,1.5121951219512195,7.975609756097561
AG,2016,0.9011560693641617,-2.4763089235387863,1.6820809248554913,6.930635838150289
AG,2017,1.3375000000000004,-1.7013292731258949,1.5,9.125
AG,2018,1.8277777777777775,-2.29163401876861,1.5740740740740742,7.796296296296297
AG,2019,1.598333333333335,-2.359603275865456,1.6166666666666667,9.591666666666667
AJ,2005,5.4142857142857155,-3.440012482028869,2.2142857142857144,2.2857142857142856
AJ,2006,5.433333333333334,-3.0782241014799196,1.6666666666666667,2.0
AJ,2007,-1.323076923076923,-4.1043254283440636,2.3076923076923075,3.769230769230769
AJ,2008,0.2857142857142857,-0.9136877962738374,2.2857142857142856,2.857142857142857
AJ,2009,2.4454545454545453,2.5203998478977523,1.0,3.727272727272727
AJ,2014,0.5333333333333332,-0.8851156162430663,1.75,4.958333333333333
AJ,2015,1.0462962962962965,-1.636123163006488,1.6111111111111112,7.537037037037037
AJ,2016,1.685405405405405,-0.31607360306500376,1.4,6.3297297297297295
AJ,2017,1.3799999999999997,1.7942505876836312,1.4333333333333333,5.2
AJ,2018,1.2923076923076922,-3.277303111637731,1.7115384615384615,11.307692307692308
AJ,2019,2.3014285714285716,0.11898727474528116,1.3285714285714285,8.514285714285714
AL,2005,2.65,-1.68026899973883,1.0,7.0
AL,2006,0.10666666666666665,-3.970833268043101,1.4666666666666666,10.133333333333333
AL,2007,2.05,-0.31214211024249,1.25,3.25
AL,2008,-0.1333333333333334,1.4578311284058107,1.3333333333333333,3.5
AL,2009,1.2999999999999998,1.9647571544865348,1.5,5.75
AL,2014,-2.309090909090909,-3.493391606383385,2.6363636363636362,4.818181818181818
AL,2015,1.1477611940298504,-1.706412702194881,1.6567164179104477,7.880597014925373
