"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,Romania,Afghanistan,"G / RA",8
2016,Romania,Afghanistan,"G / JR",
2016,Romania,Afghanistan,"G / FI",79
2016,"Russian Federation",Afghanistan,"G / TA",577
2016,"Russian Federation",Afghanistan,"G / FI",211
2016,"Saudi Arabia",Afghanistan,"U / FI",
2016,Senegal,Afghanistan,"G / FA",
2016,"El Salvador",Afghanistan,"G / FI",5
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"G / FI",222
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"G / FI",187
2016,Slovakia,Afghanistan,"G / RA",8
2016,Slovakia,Afghanistan,"G / FI",8
2016,Slovenia,Afghanistan,"G / RA",10
2016,Slovenia,Afghanistan,"G / FI",409
2016,Sweden,Afghanistan,"G / FI",2148
2016,Sweden,Afghanistan,"G / AR",4823
2016,Sweden,Afghanistan,"G / RA",809
2016,"Syrian Arab Rep.",Afghanistan,"U / JR",21
2016,"Syrian Arab Rep.",Afghanistan,"U / FI",53
2016,"Syrian Arab Rep.",Afghanistan,"U / JR",1
2016,Thailand,Afghanistan,"U / FI",33
2016,Thailand,Afghanistan,"U / AR",2
2016,Tajikistan,Afghanistan,"U / FI",19
2016,Tajikistan,Afghanistan,"G / FA",254
2016,Turkey,Afghanistan,"U / AR",1
2016,Turkey,Afghanistan,"U / RA",20
2016,Turkey,Afghanistan,"U / FI",34775
2016,Ukraine,Afghanistan,"G / FI",164
2016,Ukraine,Afghanistan,"U / AR",1
2016,Ukraine,Afghanistan,"G / JR",138
2016,Ukraine,Afghanistan,"U / FI",82
2016,"United States of America",Afghanistan,"G / EO",48
2016,"United States of America",Afghanistan,"G / IN",263
2016,"South Africa",Afghanistan,"G / AR",
2016,"South Africa",Afghanistan,"G / FI",1
2016,Argentina,Angola,"G / AR",
2016,Argentina,Angola,"G / FI",8
2016,Australia,Angola,"G / FI",3
2016,Austria,Angola,"G / FA",11
2016,Burundi,Angola,"G / FI",
2016,Belgium,Angola,"G / JR",26
2016,Belgium,Angola,"G / RA",17
2016,Belgium,Angola,"G / FI",75
2016,Brazil,Angola,"G / FI",1353
2016,Canada,Angola,"G / FI",51
2016,Switzerland,Angola,"G / FI",5
2016,Switzerland,Angola,"G / FI",57
2016,Chile,Angola,"G / FI",2
2016,China,Angola,"U / FI",1
2016,China,Angola,"U / AR",
2016,Cameroon,Angola,"U / AR",1
2016,Cameroon,Angola,"U / FI",
2016,"Dem. Rep. of the Congo",Angola,"G / FI",13
2016,Congo,Angola,"G / FA",
2016,Cuba,Angola,"U / FA",6
2016,Germany,Angola,"G / JR",
2016,Germany,Angola,"G / RA",1
2016,Germany,Angola,"G / NA",168
2016,Denmark,Angola,"G / FI",1
2016,Algeria,Angola,"U / FI",
2016,Egypt,Angola,"U / FI",1
2016,Spain,Angola,"G / FI",16
2016,Finland,Angola,"G / FI",10
