"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,Egypt,"Central African Rep.","U / FI",10
2016,Spain,"Central African Rep.","G / FI",108
2016,Finland,"Central African Rep.","G / FI",3
2016,Finland,"Central African Rep.","G / RA",
2016,France,"Central African Rep.","G / RA",11
2016,France,"Central African Rep.","G / FI",1166
2016,France,"Central African Rep.","G / RA",3
2016,France,"Central African Rep.","G / AR",307
2016,Gabon,"Central African Rep.","G / FA",32
2016,"United Kingdom","Central African Rep.","G / FI",1
2016,"United Kingdom","Central African Rep.","G / AR",
2016,"United Kingdom","Central African Rep.","G / RA",
2016,Ghana,"Central African Rep.","G / FI",47
2016,Guinea-Bissau,"Central African Rep.","G / FI",
2016,Greece,"Central African Rep.","G / AR",
2016,Greece,"Central African Rep.","G / FI",3
2016,Hungary,"Central African Rep.","G / FA",
2016,Hungary,"Central African Rep.","G / FI",1
2016,Indonesia,"Central African Rep.","U / AR",
2016,Indonesia,"Central African Rep.","U / FI",
2016,Italy,"Central African Rep.","G / FI",55
2016,Kenya,"Central African Rep.","J / FI",1
2016,"Rep. of Korea","Central African Rep.","G / FA",
2016,Lebanon,"Central African Rep.","U / FI",1
2016,Liberia,"Central African Rep.","J / FI",
2016,Luxembourg,"Central African Rep.","G / FI",1
2016,Morocco,"Central African Rep.","U / FI",85
2016,Morocco,"Central African Rep.","U / AR",5
2016,Mali,"Central African Rep.","G / FI",134
2016,Mozambique,"Central African Rep.","G / FI",1
2016,Mauritania,"Central African Rep.","U / FI",120
2016,Mauritania,"Central African Rep.","U / AR",
2016,Malaysia,"Central African Rep.","U / FI",4
2016,Namibia,"Central African Rep.","G / FI",1
2016,Niger,"Central African Rep.","G / FI",16
2016,Niger,"Central African Rep.","G / AR",
2016,Nigeria,"Central African Rep.","G / FI",14
2016,Netherlands,"Central African Rep.","G / FI",4
2016,Norway,"Central African Rep.","G / FI",1
2016,Poland,"Central African Rep.","G / FI",2
2016,Portugal,"Central African Rep.","G / FI",5
2016,Romania,"Central African Rep.","G / FI",3
2016,"Russian Federation","Central African Rep.","G / TA",
2016,Rwanda,"Central African Rep.","G / FI",
2016,Sudan,"Central African Rep.","G / FI",
2016,Sudan,"Central African Rep.","U / FI",
2016,Senegal,"Central African Rep.","G / FA",70
2016,"Serbia and Kosovo (S/RES/1244 (1999))","Central African Rep.","G / FI",
2016,"South Sudan","Central African Rep.","U / FI",1
2016,Sweden,"Central African Rep.","G / FI",1
2016,Sweden,"Central African Rep.","G / AR",1
2016,Swaziland,"Central African Rep.","G / FI",
2016,Chad,"Central African Rep.","G / FA",136
2016,Togo,"Central African Rep.","G / FA",87
2016,Tunisia,"Central African Rep.","U / FI",
2016,Tunisia,"Central African Rep.","U / AR",5
2016,Turkey,"Central African Rep.","U / FI",1
2016,Uganda,"Central African Rep.","G / FA",6
2016,"United States of America","Central African Rep.","G / IN",24
2016,"United States of America","Central African Rep.","G / EO",
2016,"South Africa","Central African Rep.","G / AR",
2016,"South Africa","Central African Rep.","G / FI",2
2016,Australia,Canada,"G / FI",3
2016,Australia,Canada,"G / AR",1
2016,Austria,Canada,"G / FA",2
2016,Belgium,Canada,"G / RA",
2016,Belgium,Canada,"G / FI",1
2016,Belarus,Canada,"G / FI",1
2016,Brazil,Canada,"G / FI",
2016,Switzerland,Canada,"G / FI",1
2016,"Costa Rica",Canada,"G / FI",3
2016,Germany,Canada,"G / JR",
2016,Germany,Canada,"G / NA",1
2016,Germany,Canada,"G / NA",
2016,Finland,Canada,"G / FI",
2016,France,Canada,"G / FI",6
2016,"United Kingdom",Canada,"G / AR",
2016,"United Kingdom",Canada,"G / FI",11
2016,"United Kingdom",Canada,"G / RA",3
2016,Ireland,Canada,"G / AR",1
2016,Ireland,Canada,"G / FI",
2016,Iceland,Canada,"G / FI",1
2016,Italy,Canada,"G / FI",2
2016,Netherlands,Canada,"G / FI",
2016,Norway,Canada,"G / FI",3
2016,Norway,Canada,"G / AR",1
2016,Peru,Canada,"G / FI",1
2016,Poland,Canada,"G / FI",
2016,"Russian Federation",Canada,"G / FI",1
2016,"Russian Federation",Canada,"G / TA",1
2016,Sweden,Canada,"G / AR",4
2016,Sweden,Canada,"G / FI",3
2016,Sweden,Canada,"G / RA",
2016,Uganda,Canada,"G / FA",
2016,"United States of America",Canada,"G / EO",9
2016,"United States of America",Canada,"G / IN",2
2016,Argentina,Switzerland,"G / FI",1
2016,Austria,Switzerland,"G / FA",2
2016,Brazil,Switzerland,"G / FI",
2016,Canada,Switzerland,"G / FI",2
2016,Germany,Switzerland,"G / NA",
2016,Finland,Switzerland,"G / RA",
2016,Finland,Switzerland,"G / FI",1
2016,"United Kingdom",Switzerland,"G / FI",
2016,"United Kingdom",Switzerland,"G / AR",
2016,"United Kingdom",Switzerland,"G / RA",
2016,Luxembourg,Switzerland,"G / FI",1
2016,Norway,Switzerland,"G / FI",1
2016,"United States of America",Switzerland,"G / EO",
2016,"United States of America",Switzerland,"G / IN",3
2016,"United States of America",Switzerland,"G / EO",
2016,Argentina,Chile,"G / JR",
2016,Argentina,Chile,"G / AR",
2016,Argentina,Chile,"G / FI",2
2016,Australia,Chile,"G / FI",3
2016,Austria,Chile,"G / FA",2
2016,Belgium,Chile,"G / FI",5
2016,Belgium,Chile,"G / RA",
2016,Brazil,Chile,"G / FI",5
2016,Canada,Chile,"G / FI",50
2016,"Costa Rica",Chile,"G / FI",
2016,Germany,Chile,"G / NA",
2016,Germany,Chile,"G / RA",
2016,Germany,Chile,"G / JR",
2016,Denmark,Chile,"G / FI",1
2016,Spain,Chile,"G / FI",8
2016,France,Chile,"G / FI",2
2016,France,Chile,"G / AR",1
2016,"United Kingdom",Chile,"G / AR",
2016,"United Kingdom",Chile,"G / FI",2
2016,"United Kingdom",Chile,"G / RA",
2016,Greece,Chile,"G / FI",1
2016,Italy,Chile,"G / FI",4
2016,Mexico,Chile,"G / FI",
2016,Netherlands,Chile,"G / RA",
2016,Norway,Chile,"G / FI",2
2016,"New Zealand",Chile,"G / FI",
2016,Panama,Chile,"G / FI",1
2016,Romania,Chile,"G / FI",1
2016,Sweden,Chile,"G / RA",5
2016,Sweden,Chile,"G / AR",16
2016,Sweden,Chile,"G / FI",24
2016,"Syrian Arab Rep.",Chile,"U / FI",
2016,Turkey,Chile,"U / FI",1
2016,Uruguay,Chile,"G / FI",1
2016,"United States of America",Chile,"G / IN",31
2016,"United States of America",Chile,"G / EO",7
2016,"Venezuela (Bolivarian Republic of)",Chile,"G / FI",
2016,"South Africa",Chile,"G / AR",
2016,Argentina,China,"G / FI",22
2016,Argentina,China,"G / JR",
2016,Argentina,China,"G / AR",
2016,Australia,China,"G / AR",807
2016,Australia,China,"G / FI",1914
2016,Austria,China,"G / FA",246
2016,Belgium,China,"G / RA",201
2016,Belgium,China,"G / JR",25
2016,Belgium,China,"G / FI",125
2016,Bulgaria,China,"G / FI",13
2016,Bahamas,China,"J / FI",
2016,Brazil,China,"G / FI",322
2016,Canada,China,"G / FI",1331
2016,Switzerland,China,"G / FI",333
2016,Switzerland,China,"G / FI",17
2016,"Costa Rica",China,"G / AR",
2016,Cyprus,China,"G / FI",
2016,Cyprus,China,"G / RA",
2016,Cyprus,China,"G / AR",
2016,"Czech Rep.",China,"G / FI",64
2016,"Czech Rep.",China,"G / RA",4
2016,Germany,China,"G / NA",1031
2016,Germany,China,"G / JR",
2016,Germany,China,"G / RA",30
2016,Denmark,China,"G / AR",18
2016,Denmark,China,"G / FI",9
2016,Egypt,China,"U / FI",
2016,Spain,China,"G / FI",159
2016,Finland,China,"G / FI",50
2016,Finland,China,"G / RA",1
2016,France,China,"G / FI",1964
2016,France,China,"G / RA",18
2016,France,China,"G / AR",1319
2016,France,China,"G / RA",62
2016,"United Kingdom",China,"G / AR",242
2016,"United Kingdom",China,"G / RA",28
2016,"United Kingdom",China,"G / FI",913
2016,Greece,China,"G / FI",129
2016,Greece,China,"G / RA",19
2016,Greece,China,"G / AR",69
2016,Hungary,China,"G / RA",8
2016,Hungary,China,"G / FA",
2016,Hungary,China,"G / FI",19
2016,Indonesia,China,"U / AR",
2016,Indonesia,China,"U / FI",3
2016,Ireland,China,"G / FI",22
2016,Ireland,China,"G / RA",2
2016,Italy,China,"G / FI",869
2016,Japan,China,"G / AR",
2016,Kazakhstan,China,"U / FI",
2016,"Rep. of Korea",China,"G / FA",1062
2016,"Lao People's Dem. Rep.",China,"U / FI",1
2016,Liechtenstein,China,"G / FI",6
2016,Latvia,China,"G / FI",2
2016,Mexico,China,"G / FI",2
2016,Malta,China,"G / AR",
2016,Mongolia,China,"U / FA",1
2016,Mongolia,China,"U / FI",
2016,Malaysia,China,"U / FI",13
2016,Malaysia,China,"U / AR",7
2016,Netherlands,China,"G / FI",95
2016,Netherlands,China,"G / RA",11
2016,Norway,China,"G / AR",22
2016,Norway,China,"G / RA",
2016,Norway,China,"G / FI",23
2016,"New Zealand",China,"G / FI",64
2016,Peru,China,"G / FI",
2016,Philippines,China,"G / FA",1
2016,Poland,China,"G / FI",11
2016,Portugal,China,"G / FI",12
2016,Romania,China,"G / FI",4
2016,Romania,China,"G / JR",
2016,Romania,China,"G / RA",7
2016,"Russian Federation",China,"G / FI",
2016,"Russian Federation",China,"G / TA",
2016,"Saudi Arabia",China,"U / FI",
2016,Slovakia,China,"G / RA",1
2016,Slovakia,China,"G / FI",
2016,Slovenia,China,"G / FI",6
2016,Sweden,China,"G / RA",7
2016,Sweden,China,"G / FI",70
2016,Sweden,China,"G / FI",1
2016,Sweden,China,"G / AR",50
2016,Thailand,China,"U / AR",6
2016,Thailand,China,"U / RA",1
2016,Thailand,China,"U / FI",67
2016,Turkey,China,"U / FI",57
2016,Ukraine,China,"G / JR",1
2016,Ukraine,China,"G / FI",1
2016,Ukraine,China,"U / FI",1
2016,"United States of America",China,"G / IN",17753
2016,"United States of America",China,"G / EO",2115
2016,"South Africa",China,"G / FI",125
2016,"South Africa",China,"G / AR",
2016,"South Africa",China,"G / AR",
2016,Zambia,"Côte d'Ivoire","G / FI",
2016,Angola,"Côte d'Ivoire","G / FI",
2016,Argentina,"Côte d'Ivoire","G / FI",1
2016,Argentina,"Côte d'Ivoire","G / JR",
2016,Argentina,"Côte d'Ivoire","G / AR",
2016,Australia,"Côte d'Ivoire","G / AR",1
2016,Austria,"Côte d'Ivoire","G / FA",27
2016,Belgium,"Côte d'Ivoire","G / JR",37
2016,Belgium,"Côte d'Ivoire","G / RA",18
2016,Belgium,"Côte d'Ivoire","G / FI",118
2016,Benin,"Côte d'Ivoire","G / FI",15
2016,"Burkina Faso","Côte d'Ivoire","J / FI",1
2016,Bulgaria,"Côte d'Ivoire","G / FI",1
2016,Bulgaria,"Côte d'Ivoire","G / RA",3
2016,"Bolivia (Plurinational State of)","Côte d'Ivoire","G / FI",2
2016,Brazil,"Côte d'Ivoire","G / FI",12
2016,"Central African Rep.","Côte d'Ivoire","G / FI",
2016,Canada,"Côte d'Ivoire","G / FI",32
2016,Switzerland,"Côte d'Ivoire","G / FI",339
2016,Switzerland,"Côte d'Ivoire","G / FI",8
2016,China,"Côte d'Ivoire","U / AR",8
2016,China,"Côte d'Ivoire","U / FI",12
2016,Cameroon,"Côte d'Ivoire","U / RA",7
2016,Cameroon,"Côte d'Ivoire","U / FI",31
2016,Cameroon,"Côte d'Ivoire","U / AR",17
2016,"Dem. Rep. of the Congo","Côte d'Ivoire","G / FI",3
2016,Congo,"Côte d'Ivoire","G / FA",1
2016,"Costa Rica","Côte d'Ivoire","G / FI",8
2016,Cyprus,"Côte d'Ivoire","G / FI",9
2016,Cyprus,"Côte d'Ivoire","G / AR",1
2016,"Czech Rep.","Côte d'Ivoire","G / FI",
2016,Germany,"Côte d'Ivoire","G / JR",
2016,Germany,"Côte d'Ivoire","G / RA",23
2016,Germany,"Côte d'Ivoire","G / NA",1636
2016,Denmark,"Côte d'Ivoire","G / AR",1
2016,Denmark,"Côte d'Ivoire","G / FI",7
2016,Algeria,"Côte d'Ivoire","U / FI",36
2016,Algeria,"Côte d'Ivoire","U / RA",10
2016,Algeria,"Côte d'Ivoire","U / AR",19
2016,Egypt,"Côte d'Ivoire","U / FI",7
2016,Spain,"Côte d'Ivoire","G / FI",136
2016,Estonia,"Côte d'Ivoire","G / FI",
2016,Ethiopia,"Côte d'Ivoire","J / FI",1
2016,Finland,"Côte d'Ivoire","G / FI",16
2016,Finland,"Côte d'Ivoire","G / RA",
2016,France,"Côte d'Ivoire","G / RA",90
2016,France,"Côte d'Ivoire","G / RA",39
2016,France,"Côte d'Ivoire","G / FI",1673
2016,France,"Côte d'Ivoire","G / AR",746
2016,Gabon,"Côte d'Ivoire","G / FA",
2016,"United Kingdom","Côte d'Ivoire","G / AR",19
2016,"United Kingdom","Côte d'Ivoire","G / RA",
2016,"United Kingdom","Côte d'Ivoire","G / FI",40
2016,Georgia,"Côte d'Ivoire","G / FI",9
2016,Ghana,"Côte d'Ivoire","G / FI",467
2016,Guinea,"Côte d'Ivoire","G / FI",35
2016,Guinea-Bissau,"Côte d'Ivoire","G / FI",2
2016,Greece,"Côte d'Ivoire","G / AR",34
2016,Greece,"Côte d'Ivoire","G / FI",44
2016,Greece,"Côte d'Ivoire","G / RA",5
2016,Hungary,"Côte d'Ivoire","G / FI",3
2016,Hungary,"Côte d'Ivoire","G / RA",3
2016,Hungary,"Côte d'Ivoire","G / FA",
2016,Indonesia,"Côte d'Ivoire","U / AR",
2016,Indonesia,"Côte d'Ivoire","U / FI",3
2016,India,"Côte d'Ivoire","U / AR",1
2016,India,"Côte d'Ivoire","U / FI",5
2016,Ireland,"Côte d'Ivoire","G / FI",3
2016,Ireland,"Côte d'Ivoire","G / SP",1
2016,Ireland,"Côte d'Ivoire","G / AR",1
2016,Ireland,"Côte d'Ivoire","G / SP",3
2016,Iceland,"Côte d'Ivoire","G / FI",1
2016,Italy,"Côte d'Ivoire","G / FI",7456
2016,Kenya,"Côte d'Ivoire","J / FI",2
2016,"Rep. of Korea","Côte d'Ivoire","G / FA",22
2016,Lebanon,"Côte d'Ivoire","U / FI",2
2016,Lebanon,"Côte d'Ivoire","U / AR",
2016,Libya,"Côte d'Ivoire","U / FI",
2016,Luxembourg,"Côte d'Ivoire","G / AR",4
2016,Luxembourg,"Côte d'Ivoire","G / FI",5
2016,Luxembourg,"Côte d'Ivoire","G / JR",2
2016,Morocco,"Côte d'Ivoire","U / FI",320
2016,Morocco,"Côte d'Ivoire","U / AR",42
2016,"Rep. of Moldova","Côte d'Ivoire","G / FI",1
2016,Madagascar,"Côte d'Ivoire","U / FI",1
2016,Mali,"Côte d'Ivoire","G / FI",58
2016,Malta,"Côte d'Ivoire","G / AR",1
2016,Malta,"Côte d'Ivoire","G / FI",6
2016,Mozambique,"Côte d'Ivoire","G / FI",1
2016,Mauritania,"Côte d'Ivoire","U / AR",5
2016,Mauritania,"Côte d'Ivoire","U / FI",27
2016,Malawi,"Côte d'Ivoire","G / FI",3
2016,Malaysia,"Côte d'Ivoire","U / FI",
2016,Malaysia,"Côte d'Ivoire","U / AR",1
2016,Niger,"Côte d'Ivoire","G / AR",
2016,Niger,"Côte d'Ivoire","G / FI",
2016,Nigeria,"Côte d'Ivoire","G / FI",11
2016,Netherlands,"Côte d'Ivoire","G / RA",11
2016,Netherlands,"Côte d'Ivoire","G / FI",31
2016,Norway,"Côte d'Ivoire","G / AR",17
2016,Norway,"Côte d'Ivoire","G / FI",1
2016,Panama,"Côte d'Ivoire","G / FI",
2016,Peru,"Côte d'Ivoire","G / FI",
2016,Philippines,"Côte d'Ivoire","G / FA",7
2016,Portugal,"Côte d'Ivoire","G / FI",6
2016,Romania,"Côte d'Ivoire","G / FI",
2016,Romania,"Côte d'Ivoire","G / RA",1
2016,"Russian Federation","Côte d'Ivoire","G / FI",1
2016,"Russian Federation","Côte d'Ivoire","G / TA",7
2016,Senegal,"Côte d'Ivoire","G / FA",3
2016,"Sierra Leone","Côte d'Ivoire","G / FI",
2016,Sweden,"Côte d'Ivoire","G / AR",19
2016,Sweden,"Côte d'Ivoire","G / FI",15
2016,Sweden,"Côte d'Ivoire","G / RA",5
2016,Swaziland,"Côte d'Ivoire","G / FI",
2016,"Syrian Arab Rep.","Côte d'Ivoire","U / FI",
2016,"Syrian Arab Rep.","Côte d'Ivoire","U / JR",5
2016,Chad,"Côte d'Ivoire","G / FA",
2016,Togo,"Côte d'Ivoire","G / FA",82
2016,Thailand,"Côte d'Ivoire","U / FI",2
2016,Tunisia,"Côte d'Ivoire","U / FI",
2016,Tunisia,"Côte d'Ivoire","U / AR",6
2016,Turkey,"Côte d'Ivoire","U / AR",
2016,Turkey,"Côte d'Ivoire","U / FI",5
2016,Ukraine,"Côte d'Ivoire","G / JR",3
2016,Ukraine,"Côte d'Ivoire","G / FI",5
2016,Ukraine,"Côte d'Ivoire","U / FI",
2016,"United States of America","Côte d'Ivoire","G / IN",311
2016,"United States of America","Côte d'Ivoire","G / EO",23
2016,"Venezuela (Bolivarian Republic of)","Côte d'Ivoire","G / FI",
2016,"South Africa","Côte d'Ivoire","G / AR",
2016,"South Africa","Côte d'Ivoire","G / AR",
2016,"South Africa","Côte d'Ivoire","G / FI",17
2016,Zambia,Cameroon,"G / FI",
2016,Argentina,Cameroon,"G / FI",17
2016,Argentina,Cameroon,"G / AR",
2016,Argentina,Cameroon,"G / JR",
2016,Armenia,Cameroon,"G / FI",2
2016,Australia,Cameroon,"G / AR",6
2016,Australia,Cameroon,"G / FI",18
2016,Austria,Cameroon,"G / FA",50
2016,Belgium,Cameroon,"G / RA",29
2016,Belgium,Cameroon,"G / FI",257
2016,Belgium,Cameroon,"G / JR",108
2016,Benin,Cameroon,"G / FI",1
2016,"Burkina Faso",Cameroon,"J / FI",
2016,Bulgaria,Cameroon,"G / FI",1
2016,Bulgaria,Cameroon,"G / RA",3
2016,"Bosnia and Herzegovina",Cameroon,"G / FI",2
2016,Brazil,Cameroon,"G / FI",28
2016,"Central African Rep.",Cameroon,"G / FI",13
2016,Canada,Cameroon,"G / FI",201
2016,Switzerland,Cameroon,"G / FI",3
2016,Switzerland,Cameroon,"G / FI",251
2016,Chile,Cameroon,"G / FI",
2016,China,Cameroon,"U / FI",31
2016,China,Cameroon,"U / AR",9
2016,"Côte d'Ivoire",Cameroon,"J / FA",
2016,"Dem. Rep. of the Congo",Cameroon,"G / FI",
2016,Congo,Cameroon,"G / FA",
2016,"Costa Rica",Cameroon,"G / AR",1
2016,"Costa Rica",Cameroon,"G / FI",
2016,Cyprus,Cameroon,"G / AR",4
2016,Cyprus,Cameroon,"G / RA",2
2016,Cyprus,Cameroon,"G / FI",1
2016,Cyprus,Cameroon,"G / FI",73
2016,"Czech Rep.",Cameroon,"G / RA",2
2016,"Czech Rep.",Cameroon,"G / FI",4
2016,Germany,Cameroon,"G / JR",
2016,Germany,Cameroon,"G / NA",1351
2016,Germany,Cameroon,"G / RA",48
2016,Denmark,Cameroon,"G / AR",2
2016,Denmark,Cameroon,"G / FI",11
2016,Algeria,Cameroon,"U / FI",21
2016,Algeria,Cameroon,"U / AR",5
2016,Algeria,Cameroon,"U / RA",3
2016,Egypt,Cameroon,"U / FI",33
2016,Egypt,Cameroon,"U / RA",1
2016,Egypt,Cameroon,"U / AR",3
2016,Spain,Cameroon,"G / FI",125
2016,Estonia,Cameroon,"G / FI",3
2016,Ethiopia,Cameroon,"J / FI",
2016,Finland,Cameroon,"G / RA",1
2016,Finland,Cameroon,"G / FI",86
2016,France,Cameroon,"G / RA",11
2016,France,Cameroon,"G / AR",250
2016,France,Cameroon,"G / FI",429
2016,France,Cameroon,"G / RA",5
2016,Gabon,Cameroon,"G / FA",
2016,"United Kingdom",Cameroon,"G / AR",68
2016,"United Kingdom",Cameroon,"G / RA",
2016,"United Kingdom",Cameroon,"G / FI",185
2016,Georgia,Cameroon,"G / FI",11
2016,Ghana,Cameroon,"G / FI",1
2016,Guinea,Cameroon,"G / FI",1
2016,Guinea-Bissau,Cameroon,"G / FI",
2016,Greece,Cameroon,"G / RA",3
2016,Greece,Cameroon,"G / AR",97
2016,Greece,Cameroon,"G / FI",211
2016,Croatia,Cameroon,"G / FI",5
2016,Croatia,Cameroon,"G / JR",3
2016,Haiti,Cameroon,"U / FI",2
2016,Hungary,Cameroon,"G / FA",
2016,Hungary,Cameroon,"G / RA",6
2016,Hungary,Cameroon,"G / FI",9
2016,Indonesia,Cameroon,"U / FI",25
2016,Indonesia,Cameroon,"U / AR",1
2016,India,Cameroon,"U / FI",15
2016,India,Cameroon,"U / AR",9
2016,Ireland,Cameroon,"G / SP",6
2016,Ireland,Cameroon,"G / FI",4
2016,Ireland,Cameroon,"G / SP",5
2016,Ireland,Cameroon,"G / RA",2
2016,Ireland,Cameroon,"G / AR",8
2016,Iraq,Cameroon,"U / FI",
2016,Iceland,Cameroon,"G / FI",1
2016,Italy,Cameroon,"G / FI",1987
2016,Jordan,Cameroon,"U / FI",
2016,Japan,Cameroon,"G / AR",30
2016,Kenya,Cameroon,"J / FI",3
2016,Kenya,Cameroon,"J / AR",
2016,"Rep. of Korea",Cameroon,"G / FA",121
2016,Lebanon,Cameroon,"U / AR",2
2016,Lebanon,Cameroon,"U / FI",5
2016,Libya,Cameroon,"U / FI",
2016,Luxembourg,Cameroon,"G / JR",1
2016,Luxembourg,Cameroon,"G / FI",18
2016,Luxembourg,Cameroon,"G / AR",8
2016,"China, Macao SAR",Cameroon,"G / FI",
2016,Morocco,Cameroon,"U / FI",625
2016,Morocco,Cameroon,"U / AR",23
2016,"Rep. of Moldova",Cameroon,"G / JR",1
2016,"Rep. of Moldova",Cameroon,"G / FI",2
2016,Madagascar,Cameroon,"U / FI",1
2016,Mexico,Cameroon,"G / FI",23
2016,"The former Yugoslav Republic of Macedonia",Cameroon,"G / FA",1
2016,Mali,Cameroon,"G / FI",
2016,Malta,Cameroon,"G / AR",
2016,Malta,Cameroon,"G / FI",
2016,Montenegro,Cameroon,"G / FA",2
2016,Mauritania,Cameroon,"U / AR",4
2016,Mauritania,Cameroon,"U / FI",22
2016,Malaysia,Cameroon,"U / AR",
2016,Malaysia,Cameroon,"U / FI",
2016,Namibia,Cameroon,"G / FI",1
2016,Nigeria,Cameroon,"G / FI",7
2016,Netherlands,Cameroon,"G / FI",19
2016,Netherlands,Cameroon,"G / RA",3
2016,Norway,Cameroon,"G / AR",7
2016,Norway,Cameroon,"G / FI",4
2016,"New Zealand",Cameroon,"G / FI",1
2016,Panama,Cameroon,"G / FI",1
2016,Peru,Cameroon,"G / FI",6
2016,Philippines,Cameroon,"G / FA",2
2016,Poland,Cameroon,"G / AR",1
2016,Poland,Cameroon,"G / FI",
2016,Portugal,Cameroon,"G / FI",10
2016,Paraguay,Cameroon,"G / FI",
2016,Romania,Cameroon,"G / FI",11
2016,Romania,Cameroon,"G / RA",4
2016,"Russian Federation",Cameroon,"G / FI",7
2016,"Russian Federation",Cameroon,"G / TA",11
2016,Sudan,Cameroon,"G / FI",7
2016,Senegal,Cameroon,"G / FA",5
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Cameroon,"G / FI",5
2016,Suriname,Cameroon,"U / FI",1
2016,Slovakia,Cameroon,"G / FI",
2016,Slovenia,Cameroon,"G / FI",3
2016,Sweden,Cameroon,"G / FI",50
2016,Sweden,Cameroon,"G / RA",9
2016,Sweden,Cameroon,"G / AR",32
2016,Chad,Cameroon,"G / FA",1
2016,Togo,Cameroon,"G / FA",9
2016,Thailand,Cameroon,"U / AR",1
2016,Thailand,Cameroon,"U / FI",5
2016,Turkey,Cameroon,"U / AR",
2016,Turkey,Cameroon,"U / FI",29
2016,Ukraine,Cameroon,"G / FI",4
2016,Ukraine,Cameroon,"G / JR",1
2016,Ukraine,Cameroon,"U / AR",
2016,Ukraine,Cameroon,"U / FI",1
2016,Uruguay,Cameroon,"G / FI",1
2016,"United States of America",Cameroon,"G / IN",926
2016,"United States of America",Cameroon,"G / EO",422
2016,"South Africa",Cameroon,"G / AR",
2016,"South Africa",Cameroon,"G / FI",355
2016,"South Africa",Cameroon,"G / AR",
2016,Zambia,"Dem. Rep. of the Congo","G / FI",2893
2016,Zimbabwe,"Dem. Rep. of the Congo","G / FI",749
2016,Angola,"Dem. Rep. of the Congo","G / FI",
2016,Albania,"Dem. Rep. of the Congo","G / FI",3
2016,Argentina,"Dem. Rep. of the Congo","G / FI",21
2016,Australia,"Dem. Rep. of the Congo","G / AR",5
2016,Australia,"Dem. Rep. of the Congo","G / FI",23
2016,Austria,"Dem. Rep. of the Congo","G / FA",64
2016,Burundi,"Dem. Rep. of the Congo","G / FI",6177
2016,Burundi,"Dem. Rep. of the Congo","G / AR",441
2016,Belgium,"Dem. Rep. of the Congo","G / FI",503
2016,Belgium,"Dem. Rep. of the Congo","G / JR",358
2016,Belgium,"Dem. Rep. of the Congo","G / RA",98
2016,Benin,"Dem. Rep. of the Congo","G / FI",15
2016,"Burkina Faso","Dem. Rep. of the Congo","J / FI",8
2016,Bulgaria,"Dem. Rep. of the Congo","G / FI",5
2016,"Bosnia and Herzegovina","Dem. Rep. of the Congo","G / FI",
2016,Brazil,"Dem. Rep. of the Congo","G / FI",109
2016,Botswana,"Dem. Rep. of the Congo","G / FI",110
2016,"Central African Rep.","Dem. Rep. of the Congo","G / FI",35
2016,Canada,"Dem. Rep. of the Congo","G / FI",417
2016,Switzerland,"Dem. Rep. of the Congo","G / FI",155
2016,Switzerland,"Dem. Rep. of the Congo","G / FI",21
2016,China,"Dem. Rep. of the Congo","U / FI",3
2016,"Côte d'Ivoire","Dem. Rep. of the Congo","J / FA",
2016,Cameroon,"Dem. Rep. of the Congo","U / AR",46
2016,Cameroon,"Dem. Rep. of the Congo","U / FI",26
2016,Cameroon,"Dem. Rep. of the Congo","U / RA",3
2016,Congo,"Dem. Rep. of the Congo","G / FA",177
2016,"Costa Rica","Dem. Rep. of the Congo","G / FI",110
2016,Cuba,"Dem. Rep. of the Congo","U / FA",3
2016,Cyprus,"Dem. Rep. of the Congo","G / FI",9
2016,Cyprus,"Dem. Rep. of the Congo","G / RA",2
2016,Cyprus,"Dem. Rep. of the Congo","G / AR",3
2016,"Czech Rep.","Dem. Rep. of the Congo","G / FI",2
2016,Germany,"Dem. Rep. of the Congo","G / NA",290
2016,Germany,"Dem. Rep. of the Congo","G / JR",
2016,Germany,"Dem. Rep. of the Congo","G / RA",25
2016,Denmark,"Dem. Rep. of the Congo","G / AR",8
2016,Denmark,"Dem. Rep. of the Congo","G / FI",20
2016,Algeria,"Dem. Rep. of the Congo","U / FI",43
2016,Algeria,"Dem. Rep. of the Congo","U / RA",1
2016,Algeria,"Dem. Rep. of the Congo","U / AR",4
2016,Egypt,"Dem. Rep. of the Congo","U / RA",
2016,Egypt,"Dem. Rep. of the Congo","U / FI",14
2016,Spain,"Dem. Rep. of the Congo","G / FI",97
2016,Estonia,"Dem. Rep. of the Congo","G / FI",
2016,Ethiopia,"Dem. Rep. of the Congo","J / FI",24
2016,Finland,"Dem. Rep. of the Congo","G / FI",34
2016,Finland,"Dem. Rep. of the Congo","G / RA",3
2016,France,"Dem. Rep. of the Congo","G / AR",2172
2016,France,"Dem. Rep. of the Congo","G / FI",3348
2016,France,"Dem. Rep. of the Congo","G / RA",450
2016,France,"Dem. Rep. of the Congo","G / RA",329
2016,Gabon,"Dem. Rep. of the Congo","G / FA",23
2016,"United Kingdom","Dem. Rep. of the Congo","G / AR",85
2016,"United Kingdom","Dem. Rep. of the Congo","G / RA",3
2016,"United Kingdom","Dem. Rep. of the Congo","G / FI",189
